iter	Passed	Remaining
0	60	60033
1	60	30122
2	60	20147
3	60	15164
4	61	12184
5	61	10186
6	61	8759
7	62	7689
8	62	6855
9	62	6188
10	62	5647
11	63	5196
12	63	4813
13	63	4483
14	63	4198
15	64	3947
16	64	3729
17	64	3535
18	65	3359
19	65	3200
20	65	3057
21	65	2928
22	66	2810
23	66	2701
24	66	2601
25	66	2508
26	67	2423
27	67	2344
28	67	2269
29	68	2199
30	68	2134
31	68	2073
32	68	2015
33	69	1961
34	69	1910
35	69	1862
36	69	1816
37	70	1773
38	70	1733
39	70	1694
40	70	1656
41	71	1622
42	71	1588
43	71	1555
44	71	1524
45	72	1494
46	72	1466
47	72	1439
48	72	1413
49	73	1387
50	73	1363
51	73	1340
52	73	1318
53	74	1296
54	74	1275
55	74	1255
56	74	1236
57	74	1217
58	75	1199
59	75	1182
60	75	1165
61	75	1148
62	76	1132
63	76	1117
64	76	1102
65	76	1087
66	77	1073
67	77	1057
68	77	1044
69	77	1031
70	77	1019
71	78	1006
72	78	994
73	78	983
74	78	971
75	79	960
76	79	950
77	79	939
78	79	929
79	79	919
80	80	910
81	80	900
82	80	891
83	80	882
84	81	872
85	81	863
86	81	854
87	81	845
88	81	837
89	82	830
90	82	822
91	82	814
92	82	807
93	83	800
94	83	792
95	83	785
96	83	778
97	83	771
98	84	765
99	84	758
100	84	752
101	84	744
102	84	738
103	85	732
104	85	726
105	85	721
106	85	716
107	86	710
108	86	705
109	86	700
110	86	695
111	87	690
112	87	685
113	87	679
114	87	674
115	87	669
116	88	664
117	88	660
118	88	654
119	88	650
120	88	646
121	89	641
122	89	636
123	89	632
124	89	628
125	90	624
126	90	620
127	90	615
128	90	612
129	90	608
130	91	604
131	91	601
132	91	597
133	91	593
134	92	590
135	92	587
136	92	583
137	92	580
138	93	576
139	93	573
140	93	569
141	93	566
142	94	563
143	94	560
144	94	557
145	94	554
146	94	550
147	95	547
148	95	544
149	95	542
150	95	539
151	96	536
152	96	533
153	96	530
154	96	528
155	97	525
156	97	522
157	97	520
158	97	517
159	98	514
160	98	512
161	98	509
162	98	507
163	99	504
164	99	502
165	99	499
166	99	497
167	100	495
168	100	492
169	100	490
170	100	488
171	100	486
172	101	483
173	101	481
174	101	479
175	101	477
176	102	475
177	102	472
178	102	470
179	102	468
180	103	466
181	103	464
182	103	462
183	103	460
184	103	458
185	104	456
186	104	454
187	104	452
188	104	450
189	105	448
190	105	446
191	105	444
192	105	442
193	106	440
194	106	439
195	106	437
196	106	435
197	107	433
198	107	431
199	107	430
200	107	428
201	108	426
202	108	424
203	108	423
204	108	421
205	108	419
206	109	418
207	109	416
208	109	414
209	109	413
210	110	412
211	110	410
212	110	408
213	110	407
214	111	405
215	111	404
216	111	402
217	111	401
218	112	399
219	112	398
220	112	397
221	112	395
222	113	394
223	113	393
224	113	391
225	114	390
226	114	389
227	114	387
228	114	386
229	115	385
230	115	383
231	115	382
232	115	381
233	116	380
234	116	378
235	116	377
236	116	376
237	117	374
238	117	373
239	117	372
240	117	371
241	118	369
242	118	368
243	118	367
244	118	366
245	119	365
246	119	364
247	119	362
248	119	361
249	120	360
250	120	359
251	120	358
252	120	357
253	121	355
254	121	354
255	121	353
256	121	352
257	122	351
258	122	350
259	122	349
260	122	348
261	123	347
262	123	346
263	123	345
264	123	343
265	124	342
266	124	341
267	124	340
268	125	339
269	125	338
270	125	337
271	125	336
272	126	335
273	126	334
274	126	333
275	126	332
276	127	331
277	127	330
278	127	330
279	128	329
280	128	328
281	128	327
282	128	326
283	129	325
284	129	324
285	129	323
286	129	322
287	130	321
288	130	320
289	130	319
290	130	318
291	131	317
292	131	316
293	131	316
294	131	315
295	132	314
296	132	313
297	132	312
298	132	311
299	133	310
300	133	309
301	133	308
302	133	307
303	134	307
304	134	306
305	134	305
306	135	304
307	135	303
308	135	303
309	135	302
310	136	301
311	136	300
312	136	299
313	136	298
314	137	297
315	137	297
316	137	296
317	137	295
318	137	294
319	138	293
320	138	293
321	138	292
322	139	291
323	139	290
324	139	289
325	139	289
326	140	288
327	140	287
328	140	286
329	140	285
330	140	284
331	141	284
332	141	283
333	141	282
334	141	281
335	142	281
336	142	280
337	142	279
338	143	278
339	143	278
340	143	277
341	143	276
342	144	275
343	144	275
344	144	274
345	144	273
346	145	273
347	145	272
348	145	271
349	145	270
350	146	270
351	146	269
352	146	268
353	146	267
354	147	267
355	147	266
356	147	265
357	147	264
358	147	264
359	148	263
360	148	262
361	148	262
362	148	261
363	149	260
364	149	260
365	149	259
366	149	258
367	150	258
368	150	257
369	150	256
370	151	256
371	151	255
372	151	254
373	151	254
374	152	253
375	152	252
376	152	252
377	152	251
378	153	251
379	153	250
380	153	249
381	153	249
382	154	248
383	154	247
384	154	247
385	154	246
386	155	245
387	155	245
388	155	244
389	155	243
390	156	243
391	156	242
392	156	242
393	156	241
394	157	240
395	157	240
396	157	239
397	157	238
398	158	238
399	158	237
400	158	236
401	158	236
402	158	235
403	159	234
404	159	234
405	159	233
406	159	233
407	160	232
408	160	231
409	160	231
410	160	230
411	161	229
412	161	229
413	161	228
414	161	227
415	161	227
416	162	226
417	162	226
418	162	225
419	162	224
420	162	224
421	163	223
422	163	222
423	163	222
424	163	221
425	164	221
426	164	220
427	164	219
428	164	219
429	165	218
430	165	218
431	165	217
432	165	217
433	166	216
434	166	215
435	166	215
436	166	214
437	166	214
438	167	213
439	167	212
440	167	212
441	167	212
442	168	211
443	168	210
444	168	210
445	168	209
446	169	209
447	169	208
448	169	208
449	169	207
450	170	207
451	170	206
452	170	206
453	170	205
454	171	205
455	171	204
456	171	203
457	171	203
458	172	202
459	172	202
460	172	201
461	172	201
462	173	200
463	173	200
464	173	199
465	173	199
466	174	198
467	174	198
468	174	197
469	174	197
470	175	196
471	175	196
472	175	195
473	175	195
474	176	194
475	176	194
476	176	193
477	177	193
478	177	192
479	177	192
480	177	191
481	178	191
482	178	190
483	178	190
484	178	190
485	179	189
486	179	189
487	179	188
488	179	188
489	180	187
490	180	187
491	180	186
492	181	186
493	181	185
494	181	185
495	181	184
496	182	184
497	182	183
498	182	183
499	182	182
500	183	182
501	183	181
502	183	181
503	183	180
504	184	180
505	184	180
506	184	179
507	185	179
508	185	178
509	185	178
510	185	177
511	186	177
512	186	177
513	186	176
514	186	176
515	187	175
516	187	175
517	187	174
518	187	174
519	188	173
520	188	173
521	188	172
522	188	172
523	189	171
524	189	171
525	189	170
526	189	170
527	190	169
528	190	169
529	190	169
530	190	168
531	191	168
532	191	167
533	191	167
534	191	166
535	192	166
536	192	165
537	192	165
538	192	164
539	193	164
540	193	164
541	193	163
542	193	163
543	194	162
544	194	162
545	194	162
546	195	161
547	195	161
548	195	160
549	195	160
550	196	159
551	196	159
552	196	158
553	196	158
554	197	158
555	197	157
556	197	157
557	197	156
558	198	156
559	198	155
560	198	155
561	198	154
562	199	154
563	199	154
564	199	153
565	199	153
566	200	152
567	200	152
568	200	151
569	200	151
570	201	151
571	201	150
572	201	150
573	202	149
574	202	149
575	202	149
