iter	Passed	Remaining
0	57	57141
1	57	28697
2	57	19201
3	58	14462
4	58	11636
5	58	9736
6	59	8378
7	59	7363
8	59	6582
9	60	5955
10	60	5442
11	60	5006
12	61	4635
13	61	4321
14	61	4047
15	61	3811
16	62	3600
17	62	3412
18	62	3246
19	63	3099
20	63	2967
21	63	2842
22	64	2731
23	64	2627
24	64	2531
25	65	2442
26	65	2364
27	65	2285
28	66	2215
29	66	2149
30	66	2086
31	67	2027
32	67	1971
33	67	1923
34	67	1873
35	68	1827
36	68	1784
37	68	1742
38	69	1703
39	69	1666
40	69	1630
41	69	1596
42	70	1563
43	70	1532
44	70	1501
45	71	1473
46	71	1447
47	71	1422
48	72	1399
49	72	1375
50	72	1352
51	72	1330
52	73	1309
53	73	1288
54	73	1269
55	74	1250
56	74	1232
57	74	1214
58	75	1196
59	75	1179
60	75	1163
61	75	1146
62	76	1131
63	76	1116
64	76	1102
65	76	1088
66	77	1075
67	77	1062
68	77	1050
69	78	1038
70	78	1028
71	78	1016
72	79	1005
73	79	994
74	79	983
75	80	973
76	80	963
77	80	953
78	81	945
79	81	936
80	81	927
81	82	918
82	82	907
83	82	898
84	82	890
85	83	883
86	83	876
87	83	868
88	84	860
89	84	853
90	84	846
91	85	839
92	85	831
93	85	826
94	86	820
95	86	814
96	86	808
97	87	801
98	87	795
99	87	789
100	88	783
101	88	778
102	88	772
103	89	766
104	89	761
105	89	756
106	89	750
107	90	745
108	90	740
109	90	734
110	91	729
111	91	725
112	91	719
113	91	714
114	92	711
115	92	706
116	92	700
117	93	697
118	93	692
119	93	688
120	94	684
121	94	679
122	94	674
123	94	670
124	95	666
125	95	662
126	95	658
127	96	654
128	96	651
129	96	647
130	97	644
131	97	640
132	97	637
133	98	633
134	98	631
135	98	628
136	99	624
137	99	621
138	99	617
139	100	614
140	100	611
141	100	607
142	100	605
143	101	601
144	101	599
145	101	596
146	102	593
147	102	590
148	102	588
149	103	585
150	103	582
151	103	579
152	104	576
153	104	574
154	104	571
155	105	569
156	105	566
157	105	564
158	106	561
159	106	558
160	106	555
161	106	552
162	107	550
163	107	547
164	107	545
165	108	542
166	108	540
167	108	538
168	108	535
169	109	533
170	109	530
171	109	528
172	110	526
173	110	523
174	110	521
175	111	519
176	111	517
177	111	515
178	111	513
179	112	511
180	112	509
181	112	507
182	113	505
183	113	503
184	113	501
185	114	499
186	114	497
187	114	495
188	115	493
189	115	492
190	115	490
191	116	488
192	116	486
193	116	484
194	117	483
195	117	481
196	117	480
197	118	478
198	118	476
199	118	475
200	119	473
201	119	471
